"Student Counts by District and Year"
"All Districts"
"Trend"

"District","District Code","Count"
"Achievement First Hartford Academy Inc. District","=""2880013""",0
"Achievement First Hartford Academy Inc. District","=""2880013""",261
"Achievement First Hartford Academy Inc. District","=""2880013""",440
"Achievement First Hartford Academy Inc. District","=""2880013""",610
"Achievement First Hartford Academy Inc. District","=""2880013""",762
"Achievement First Hartford Academy Inc. District","=""2880013""",824
"Achievement First Hartford Academy Inc. District","=""2880013""",870
"Achievement First Hartford Academy Inc. District","=""2880013""",954
"Achievement First Hartford Academy Inc. District","=""2880013""",1063
"Amistad Academy District","=""2790013""",547
"Amistad Academy District","=""2790013""",641
"Amistad Academy District","=""2790013""",744
"Amistad Academy District","=""2790013""",812
"Amistad Academy District","=""2790013""",857
"Amistad Academy District","=""2790013""",904
"Amistad Academy District","=""2790013""",937
"Amistad Academy District","=""2790013""",984
"Amistad Academy District","=""2790013""",1036
"Andover School District","=""0010011""",347
"Andover School District","=""0010011""",334
"Andover School District","=""0010011""",336
"Andover School District","=""0010011""",334
"Andover School District","=""0010011""",314
"Andover School District","=""0010011""",315
"Andover School District","=""0010011""",299
"Andover School District","=""0010011""",275
"Andover School District","=""0010011""",250
"Ansonia School District","=""0020011""",2743
"Ansonia School District","=""0020011""",2722
"Ansonia School District","=""0020011""",2738
"Ansonia School District","=""0020011""",2627
"Ansonia School District","=""0020011""",2526
"Ansonia School District","=""0020011""",2425
"Ansonia School District","=""0020011""",2338
"Ansonia School District","=""0020011""",2415
"Ansonia School District","=""0020011""",2382
"Area Cooperative Educational Services","=""2440014""",2098
"Area Cooperative Educational Services","=""2440014""",2098
"Area Cooperative Educational Services","=""2440014""",2076
"Area Cooperative Educational Services","=""2440014""",1991
"Area Cooperative Educational Services","=""2440014""",1955
"Area Cooperative Educational Services","=""2440014""",1932
"Area Cooperative Educational Services","=""2440014""",1933
"Area Cooperative Educational Services","=""2440014""",1939
"Area Cooperative Educational Services","=""2440014""",1948
"Ashford School District","=""0030011""",505
"Ashford School District","=""0030011""",488
"Ashford School District","=""0030011""",478
"Ashford School District","=""0030011""",479
"Ashford School District","=""0030011""",481
"Ashford School District","=""0030011""",440
"Ashford School District","=""0030011""",424
"Ashford School District","=""0030011""",417
"Ashford School District","=""0030011""",400
"Avon School District","=""0040011""",3612
"Avon School District","=""0040011""",3569
"Avon School District","=""0040011""",3598
"Avon School District","=""0040011""",3564
"Avon School District","=""0040011""",3518
"Avon School District","=""0040011""",3421
"Avon School District","=""0040011""",3387
"Avon School District","=""0040011""",3332
"Avon School District","=""0040011""",3285
"Barkhamsted School District","=""0050011""",358
"Barkhamsted School District","=""0050011""",362
"Barkhamsted School District","=""0050011""",367
"Barkhamsted School District","=""0050011""",373
"Barkhamsted School District","=""0050011""",357
"Barkhamsted School District","=""0050011""",349
"Barkhamsted School District","=""0050011""",307
"Barkhamsted School District","=""0050011""",317
"Barkhamsted School District","=""0050011""",286
"Berlin School District","=""0070011""",3275
"Berlin School District","=""0070011""",3223
"Berlin School District","=""0070011""",3169
"Berlin School District","=""0070011""",3129
"Berlin School District","=""0070011""",3027
"Berlin School District","=""0070011""",2985
"Berlin School District","=""0070011""",2963
"Berlin School District","=""0070011""",2909
"Berlin School District","=""0070011""",2879
"Bethany School District","=""0080011""",570
"Bethany School District","=""0080011""",551
