"Student Counts by District and Year"
"All Districts"
"Trend"

"District","District Code","Count"
"Bethany School District","=""0080011""",516
"Bethany School District","=""0080011""",514
"Bethany School District","=""0080011""",492
"Bethany School District","=""0080011""",473
"Bethany School District","=""0080011""",436
"Bethany School District","=""0080011""",407
"Bethany School District","=""0080011""",383
"Bethel School District","=""0090011""",3157
"Bethel School District","=""0090011""",3087
"Bethel School District","=""0090011""",3053
"Bethel School District","=""0090011""",2949
"Bethel School District","=""0090011""",2982
"Bethel School District","=""0090011""",2987
"Bethel School District","=""0090011""",3000
"Bethel School District","=""0090011""",2939
"Bethel School District","=""0090011""",2971
"Bloomfield School District","=""0110011""",2240
"Bloomfield School District","=""0110011""",2181
"Bloomfield School District","=""0110011""",2298
"Bloomfield School District","=""0110011""",2207
"Bloomfield School District","=""0110011""",2164
"Bloomfield School District","=""0110011""",2119
"Bloomfield School District","=""0110011""",2096
"Bloomfield School District","=""0110011""",2115
"Bloomfield School District","=""0110011""",2078
"Bolton School District","=""0120011""",876
"Bolton School District","=""0120011""",869
"Bolton School District","=""0120011""",888
"Bolton School District","=""0120011""",904
"Bolton School District","=""0120011""",897
"Bolton School District","=""0120011""",897
"Bolton School District","=""0120011""",869
"Bolton School District","=""0120011""",847
"Bolton School District","=""0120011""",820
"Booker T. Washington Academy District","=""2950013""",0
"Booker T. Washington Academy District","=""2950013""",0
"Booker T. Washington Academy District","=""2950013""",0
"Booker T. Washington Academy District","=""2950013""",0
"Booker T. Washington Academy District","=""2950013""",0
"Booker T. Washington Academy District","=""2950013""",0
"Booker T. Washington Academy District","=""2950013""",0
"Booker T. Washington Academy District","=""2950013""",91
"Booker T. Washington Academy District","=""2950013""",180
"Bozrah School District","=""0130011""",269
"Bozrah School District","=""0130011""",261
"Bozrah School District","=""0130011""",258
"Bozrah School District","=""0130011""",236
"Bozrah School District","=""0130011""",236
"Bozrah School District","=""0130011""",243
"Bozrah School District","=""0130011""",244
"Bozrah School District","=""0130011""",211
"Bozrah School District","=""0130011""",202
"Branford School District","=""0140011""",3514
"Branford School District","=""0140011""",3515
"Branford School District","=""0140011""",3534
"Branford School District","=""0140011""",3445
"Branford School District","=""0140011""",3341
"Branford School District","=""0140011""",3282
"Branford School District","=""0140011""",3245
"Branford School District","=""0140011""",3108
"Branford School District","=""0140011""",3066
"Brass City Charter School District","=""2900013""",0
"Brass City Charter School District","=""2900013""",0
"Brass City Charter School District","=""2900013""",0
"Brass City Charter School District","=""2900013""",0
"Brass City Charter School District","=""2900013""",0
"Brass City Charter School District","=""2900013""",0
"Brass City Charter School District","=""2900013""",115
"Brass City Charter School District","=""2900013""",150
"Brass City Charter School District","=""2900013""",186
"Bridgeport Achievement First District","=""2850013""",85
"Bridgeport Achievement First District","=""2850013""",160
"Bridgeport Achievement First District","=""2850013""",238
"Bridgeport Achievement First District","=""2850013""",409
"Bridgeport Achievement First District","=""2850013""",543
"Bridgeport Achievement First District","=""2850013""",702
"Bridgeport Achievement First District","=""2850013""",835
"Bridgeport Achievement First District","=""2850013""",977
"Bridgeport Achievement First District","=""2850013""",1016
"Bridgeport School District","=""0150011""",20958
"Bridgeport School District","=""0150011""",20596
"Bridgeport School District","=""0150011""",20307
"Bridgeport School District","=""0150011""",20457
"Bridgeport School District","=""0150011""",20367
"Bridgeport School District","=""0150011""",20338
"Bridgeport School District","=""0150011""",20929
"Bridgeport School District","=""0150011""",21244
"Bridgeport School District","=""0150011""",21191
"Bristol School District","=""0170011""",8980
"Bristol School District","=""0170011""",8866
"Bristol School District","=""0170011""",8753
"Bristol School District","=""0170011""",8666
"Bristol School District","=""0170011""",8523
"Bristol School District","=""0170011""",8365
"Bristol School District","=""0170011""",8268
"Bristol School District","=""0170011""",8233
"Bristol School District","=""0170011""",8170
"Brookfield School District","=""0180011""",2955
"Brookfield School District","=""0180011""",2952
"Brookfield School District","=""0180011""",2906
"Brookfield School District","=""0180011""",2874
"Brookfield School District","=""0180011""",2845
"Brookfield School District","=""0180011""",2793
"Brookfield School District","=""0180011""",2771
"Brookfield School District","=""0180011""",2719
"Brookfield School District","=""0180011""",2692
"Brooklyn School District","=""0190011""",993
"Brooklyn School District","=""0190011""",987
"Brooklyn School District","=""0190011""",972
"Brooklyn School District","=""0190011""",957
"Brooklyn School District","=""0190011""",939
"Brooklyn School District","=""0190011""",948
"Brooklyn School District","=""0190011""",926
"Brooklyn School District","=""0190011""",920
"Brooklyn School District","=""0190011""",908
"Canaan School District","=""0210011""",102
"Canaan School District","=""0210011""",85
"Canaan School District","=""0210011""",95
"Canaan School District","=""0210011""",86
"Canaan School District","=""0210011""",86
"Canaan School District","=""0210011""",75
"Canaan School District","=""0210011""","*"
"Canaan School District","=""0210011""",78
"Canaan School District","=""0210011""","*"
"Canterbury School District","=""0220011""",584
"Canterbury School District","=""0220011""",605
"Canterbury School District","=""0220011""",556
"Canterbury School District","=""0220011""",528
"Canterbury School District","=""0220011""",520
"Canterbury School District","=""0220011""",499
"Canterbury School District","=""0220011""",464
"Canterbury School District","=""0220011""",477
"Canterbury School District","=""0220011""",494
"Canton School District","=""0230011""",1739
"Canton School District","=""0230011""",1761
"Canton School District","=""0230011""",1775
"Canton School District","=""0230011""",1789
"Canton School District","=""0230011""",1751
"Canton School District","=""0230011""",1758
"Canton School District","=""0230011""",1700
"Canton School District","=""0230011""",1629
"Canton School District","=""0230011""",1633
"Capital Preparatory Harbor School Inc. District","=""2970013""",0
"Capital Preparatory Harbor School Inc. District","=""2970013""",0
"Capital Preparatory Harbor School Inc. District","=""2970013""",0
"Capital Preparatory Harbor School Inc. District","=""2970013""",0
"Capital Preparatory Harbor School Inc. District","=""2970013""",0
"Capital Preparatory Harbor School Inc. District","=""2970013""",0
"Capital Preparatory Harbor School Inc. District","=""2970013""",0
"Capital Preparatory Harbor School Inc. District","=""2970013""",0
"Capital Preparatory Harbor School Inc. District","=""2970013""",249
"Capitol Region Education Council","=""2410014""",2793
"Capitol Region Education Council","=""2410014""",3436
"Capitol Region Education Council","=""2410014""",3948
"Capitol Region Education Council","=""2410014""",4646
"Capitol Region Education Council","=""2410014""",5558
"Capitol Region Education Council","=""2410014""",6258
"Capitol Region Education Council","=""2410014""",7177
"Capitol Region Education Council","=""2410014""",8166
"Capitol Region Education Council","=""2410014""",8354
"Chaplin School District","=""0240011""",210
"Chaplin School District","=""0240011""",178
"Chaplin School District","=""0240011""",173
"Chaplin School District","=""0240011""",187
"Chaplin School District","=""0240011""",182
"Chaplin School District","=""0240011""",185
"Chaplin School District","=""0240011""",183
"Chaplin School District","=""0240011""",178
"Chaplin School District","=""0240011""",176
"Charter School for Young Children on Asylum Hill District","=""2870013""",0
"Charter School for Young Children on Asylum Hill District","=""2870013""",136
"Charter School for Young Children on Asylum Hill District","=""2870013""",185
"Charter School for Young Children on Asylum Hill District","=""2870013""",225
"Charter School for Young Children on Asylum Hill District","=""2870013""",0
"Charter School for Young Children on Asylum Hill District","=""2870013""",0
"Charter School for Young Children on Asylum Hill District","=""2870013""",0
"Charter School for Young Children on Asylum Hill District","=""2870013""",0
"Charter School for Young Children on Asylum Hill District","=""2870013""",0
"Cheshire School District","=""0250011""",5144
"Cheshire School District","=""0250011""",5032
"Cheshire School District","=""0250011""",4971
"Cheshire School District","=""0250011""",4825
"Cheshire School District","=""0250011""",4809
"Cheshire School District","=""0250011""",4674
"Cheshire School District","=""0250011""",4620
"Cheshire School District","=""0250011""",4551
"Cheshire School District","=""0250011""",4413
"Chester School District","=""0260011""",341
"Chester School District","=""0260011""",319
"Chester School District","=""0260011""",299
"Chester School District","=""0260011""",275
"Chester School District","=""0260011""",260
"Chester School District","=""0260011""",252
"Chester School District","=""0260011""",228
"Chester School District","=""0260011""",219
"Chester School District","=""0260011""",211
"Clinton School District","=""0270011""",2113
"Clinton School District","=""0270011""",2091
"Clinton School District","=""0270011""",2035
"Clinton School District","=""0270011""",2049
"Clinton School District","=""0270011""",2012
"Clinton School District","=""0270011""",1989
"Clinton School District","=""0270011""",1961
"Clinton School District","=""0270011""",1888
"Clinton School District","=""0270011""",1822
"Colchester School District","=""0280011""",3262
"Colchester School District","=""0280011""",3197
"Colchester School District","=""0280011""",3228
"Colchester School District","=""0280011""",3101
"Colchester School District","=""0280011""",3031
"Colchester School District","=""0280011""",2893
"Colchester School District","=""0280011""",2744
"Colchester School District","=""0280011""",2654
"Colchester School District","=""0280011""",2563
"Colebrook School District","=""0290011""",123
"Colebrook School District","=""0290011""",116
"Colebrook School District","=""0290011""",119
"Colebrook School District","=""0290011""",112
"Colebrook School District","=""0290011""",99
"Colebrook School District","=""0290011""",104
"Colebrook School District","=""0290011""",99
"Colebrook School District","=""0290011""",91
"Colebrook School District","=""0290011""",84
"Columbia School District","=""0300011""",593
"Columbia School District","=""0300011""",579
"Columbia School District","=""0300011""",560
"Columbia School District","=""0300011""",545
"Columbia School District","=""0300011""",530
"Columbia School District","=""0300011""",511
"Columbia School District","=""0300011""",474
"Columbia School District","=""0300011""",458
"Columbia School District","=""0300011""",454
"Common Ground High School District","=""2680013""",152
"Common Ground High School District","=""2680013""",155
"Common Ground High School District","=""2680013""",160
"Common Ground High School District","=""2680013""",163
"Common Ground High School District","=""2680013""",165
"Common Ground High School District","=""2680013""",169
"Common Ground High School District","=""2680013""",180
"Common Ground High School District","=""2680013""",180
"Common Ground High School District","=""2680013""",186
"Connecticut Technical High School System","=""9000016""",9973
"Connecticut Technical High School System","=""9000016""",10257
"Connecticut Technical High School System","=""9000016""",10469
"Connecticut Technical High School System","=""9000016""",10643
"Connecticut Technical High School System","=""9000016""",10656
"Connecticut Technical High School System","=""9000016""",10651
"Connecticut Technical High School System","=""9000016""",10698
"Connecticut Technical High School System","=""9000016""",10790
"Connecticut Technical High School System","=""9000016""",10710
"Cooperative Educational Services","=""2430014""",675
"Cooperative Educational Services","=""2430014""",754
"Cooperative Educational Services","=""2430014""",778
"Cooperative Educational Services","=""2430014""",787
"Cooperative Educational Services","=""2430014""",813
"Cooperative Educational Services","=""2430014""",838
"Cooperative Educational Services","=""2430014""",822
"Cooperative Educational Services","=""2430014""",849
"Cooperative Educational Services","=""2430014""",869
"Cornwall School District","=""0310011""",129
"Cornwall School District","=""0310011""",122
"Cornwall School District","=""0310011""",122
"Cornwall School District","=""0310011""",115
"Cornwall School District","=""0310011""",106
"Cornwall School District","=""0310011""",103
"Cornwall School District","=""0310011""",105
"Cornwall School District","=""0310011""",91
"Cornwall School District","=""0310011""",92
"Coventry School District","=""0320011""",2016
"Coventry School District","=""0320011""",1962
"Coventry School District","=""0320011""",1920
"Coventry School District","=""0320011""",1844
"Coventry School District","=""0320011""",1796
"Coventry School District","=""0320011""",1735
"Coventry School District","=""0320011""",1693
"Coventry School District","=""0320011""",1651
"Coventry School District","=""0320011""",1634
"Cromwell School District","=""0330011""",2000
"Cromwell School District","=""0330011""",2029
"Cromwell School District","=""0330011""",2068
"Cromwell School District","=""0330011""",2032
"Cromwell School District","=""0330011""",2000
"Cromwell School District","=""0330011""",1985
"Cromwell School District","=""0330011""",1968
"Cromwell School District","=""0330011""",1984
"Cromwell School District","=""0330011""",1997
"Danbury School District","=""0340011""",10178
"Danbury School District","=""0340011""",10350
"Danbury School District","=""0340011""",10483
"Danbury School District","=""0340011""",10694
"Danbury School District","=""0340011""",10822
"Danbury School District","=""0340011""",10950
"Danbury School District","=""0340011""",10793
"Danbury School District","=""0340011""",10945
"Danbury School District","=""0340011""",11157
"Darien School District","=""0350011""",4662
"Darien School District","=""0350011""",4732
"Darien School District","=""0350011""",4791
"Darien School District","=""0350011""",4855
"Darien School District","=""0350011""",4833
"Darien School District","=""0350011""",4880
"Darien School District","=""0350011""",4929
"Darien School District","=""0350011""",4932
"Darien School District","=""0350011""",4884
"Deep River School District","=""0360011""",389
"Deep River School District","=""0360011""",355
"Deep River School District","=""0360011""",351
"Deep River School District","=""0360011""",354
"Deep River School District","=""0360011""",359
"Deep River School District","=""0360011""",350
"Deep River School District","=""0360011""",333
"Deep River School District","=""0360011""",316
"Deep River School District","=""0360011""",306
"Department of Mental Health and Addiction Services","=""3370015""",11
"Department of Mental Health and Addiction Services","=""3370015""",8
"Department of Mental Health and Addiction Services","=""3370015""","*"
"Department of Mental Health and Addiction Services","=""3370015""",6
"Department of Mental Health and Addiction Services","=""3370015""",6
"Department of Mental Health and Addiction Services","=""3370015""","*"
"Department of Mental Health and Addiction Services","=""3370015""","*"
"Department of Mental Health and Addiction Services","=""3370015""",7
"Department of Mental Health and Addiction Services","=""3370015""","*"
"Derby School District","=""0370011""",1472
"Derby School District","=""0370011""",1489
"Derby School District","=""0370011""",1474
"Derby School District","=""0370011""",1476
"Derby School District","=""0370011""",1453
"Derby School District","=""0370011""",1498
"Derby School District","=""0370011""",1522
"Derby School District","=""0370011""",1467
"Derby School District","=""0370011""",1403
"East Granby School District","=""0400011""",914
"East Granby School District","=""0400011""",900
"East Granby School District","=""0400011""",907
"East Granby School District","=""0400011""",893
"East Granby School District","=""0400011""",847
"East Granby School District","=""0400011""",865
"East Granby School District","=""0400011""",874
"East Granby School District","=""0400011""",886
"East Granby School District","=""0400011""",878
"East Haddam School District","=""0410011""",1433
"East Haddam School District","=""0410011""",1437
"East Haddam School District","=""0410011""",1405
"East Haddam School District","=""0410011""",1355
"East Haddam School District","=""0410011""",1287
"East Haddam School District","=""0410011""",1257
"East Haddam School District","=""0410011""",1199
"East Haddam School District","=""0410011""",1143
"East Haddam School District","=""0410011""",1073
"East Hampton School District","=""0420011""",2087
"East Hampton School District","=""0420011""",2064
"East Hampton School District","=""0420011""",2034
"East Hampton School District","=""0420011""",1978
"East Hampton School District","=""0420011""",1952
"East Hampton School District","=""0420011""",1898
"East Hampton School District","=""0420011""",1877
"East Hampton School District","=""0420011""",1835
"East Hampton School District","=""0420011""",1893
"East Hartford School District","=""0430011""",7474
"East Hartford School District","=""0430011""",7264
"East Hartford School District","=""0430011""",7280
"East Hartford School District","=""0430011""",7128
"East Hartford School District","=""0430011""",7176
"East Hartford School District","=""0430011""",7053
"East Hartford School District","=""0430011""",7158
"East Hartford School District","=""0430011""",7060
"East Hartford School District","=""0430011""",6882
"East Haven School District","=""0440011""",3699
"East Haven School District","=""0440011""",3599
"East Haven School District","=""0440011""",3546
"East Haven School District","=""0440011""",3448
"East Haven School District","=""0440011""",3297
"East Haven School District","=""0440011""",3241
"East Haven School District","=""0440011""",3127
"East Haven School District","=""0440011""",3011
"East Haven School District","=""0440011""",3051
"East Lyme School District","=""0450011""",3269
"East Lyme School District","=""0450011""",3169
"East Lyme School District","=""0450011""",3113
"East Lyme School District","=""0450011""",3084
"East Lyme School District","=""0450011""",2985
"East Lyme School District","=""0450011""",2939
"East Lyme School District","=""0450011""",2868
"East Lyme School District","=""0450011""",2839
"East Lyme School District","=""0450011""",2792
"East Windsor School District","=""0470011""",1494
"East Windsor School District","=""0470011""",1452
"East Windsor School District","=""0470011""",1397
"East Windsor School District","=""0470011""",1345
"East Windsor School District","=""0470011""",1298
"East Windsor School District","=""0470011""",1276
"East Windsor School District","=""0470011""",1216
"East Windsor School District","=""0470011""",1138
"East Windsor School District","=""0470011""",1105
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",64
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",147
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",208
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",284
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",295
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",330
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",366
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",411
"Eastern Connecticut Regional Educational Service Center (EASTCONN)","=""2530014""",425
"Eastford School District","=""0390011""",189
"Eastford School District","=""0390011""",187
"Eastford School District","=""0390011""",171
"Eastford School District","=""0390011""",180
"Eastford School District","=""0390011""",176
"Eastford School District","=""0390011""",169
"Eastford School District","=""0390011""",152
"Eastford School District","=""0390011""",139
"Eastford School District","=""0390011""",134
"Easton School District","=""0460011""",1180
"Easton School District","=""0460011""",1158
"Easton School District","=""0460011""",1114
"Easton School District","=""0460011""",1103
"Easton School District","=""0460011""",1059
"Easton School District","=""0460011""",1019
"Easton School District","=""0460011""",962
"Easton School District","=""0460011""",936
"Easton School District","=""0460011""",922
"Education Connection","=""2420014""",179
"Education Connection","=""2420014""",194
"Education Connection","=""2420014""",200
"Education Connection","=""2420014""",217
"Education Connection","=""2420014""",221
"Education Connection","=""2420014""",249
"Education Connection","=""2420014""",229
"Education Connection","=""2420014""",250
"Education Connection","=""2420014""",227
"Ellington School District","=""0480011""",2612
"Ellington School District","=""0480011""",2645
"Ellington School District","=""0480011""",2675
"Ellington School District","=""0480011""",2734
"Ellington School District","=""0480011""",2755
"Ellington School District","=""0480011""",2721
"Ellington School District","=""0480011""",2664
"Ellington School District","=""0480011""",2658
"Ellington School District","=""0480011""",2633
"Elm City College Preparatory School","=""2810013""",476
"Elm City College Preparatory School","=""2810013""",509
"Elm City College Preparatory School","=""2810013""",0
"Elm City College Preparatory School","=""2810013""",0
"Elm City College Preparatory School","=""2810013""",0
"Elm City College Preparatory School","=""2810013""",0
"Elm City College Preparatory School","=""2810013""",0
"Elm City College Preparatory School","=""2810013""",0
"Elm City College Preparatory School","=""2810013""",0
"Elm City College Preparatory School District","=""2890013""",0
"Elm City College Preparatory School District","=""2890013""",0
"Elm City College Preparatory School District","=""2890013""",547
"Elm City College Preparatory School District","=""2890013""",585
"Elm City College Preparatory School District","=""2890013""",600
"Elm City College Preparatory School District","=""2890013""",604
"Elm City College Preparatory School District","=""2890013""",624
"Elm City College Preparatory School District","=""2890013""",635
"Elm City College Preparatory School District","=""2890013""",703
"Elm City Montessori School District","=""2910013""",0
"Elm City Montessori School District","=""2910013""",0
"Elm City Montessori School District","=""2910013""",0
"Elm City Montessori School District","=""2910013""",0
"Elm City Montessori School District","=""2910013""",0
"Elm City Montessori School District","=""2910013""",0
"Elm City Montessori School District","=""2910013""",0
"Elm City Montessori School District","=""2910013""",70
"Elm City Montessori School District","=""2910013""",113
"Enfield School District","=""0490011""",6373
"Enfield School District","=""0490011""",6314
"Enfield School District","=""0490011""",6119
"Enfield School District","=""0490011""",5912
"Enfield School District","=""0490011""",5673
"Enfield School District","=""0490011""",5480
"Enfield School District","=""0490011""",5225
"Enfield School District","=""0490011""",5174
"Enfield School District","=""0490011""",5189
"Essex School District","=""0500011""",551
"Essex School District","=""0500011""",594
"Essex School District","=""0500011""",593
"Essex School District","=""0500011""",594
"Essex School District","=""0500011""",559
"Essex School District","=""0500011""",530
"Essex School District","=""0500011""",510
"Essex School District","=""0500011""",454
"Essex School District","=""0500011""",420
"Explorations District","=""2720013""",86
"Explorations District","=""2720013""",85
"Explorations District","=""2720013""",80
"Explorations District","=""2720013""",80
"Explorations District","=""2720013""",74
"Explorations District","=""2720013""",73
"Explorations District","=""2720013""",83
"Explorations District","=""2720013""",88
"Explorations District","=""2720013""",92
"Fairfield School District","=""0510011""",9797
"Fairfield School District","=""0510011""",9975
"Fairfield School District","=""0510011""",10134
"Fairfield School District","=""0510011""",10207
"Fairfield School District","=""0510011""",10335
"Fairfield School District","=""0510011""",10327
"Fairfield School District","=""0510011""",10288
"Fairfield School District","=""0510011""",10213
"Fairfield School District","=""0510011""",10091
"Farmington School District","=""0520011""",4209
"Farmington School District","=""0520011""",4206
"Farmington School District","=""0520011""",4169
"Farmington School District","=""0520011""",4151
"Farmington School District","=""0520011""",4069
"Farmington School District","=""0520011""",4071
"Farmington School District","=""0520011""",4036
"Farmington School District","=""0520011""",4020
"Farmington School District","=""0520011""",4096
"Franklin School District","=""0530011""",235
"Franklin School District","=""0530011""",226
"Franklin School District","=""0530011""",225
"Franklin School District","=""0530011""",224
"Franklin School District","=""0530011""",206
"Franklin School District","=""0530011""",204
"Franklin School District","=""0530011""",185
"Franklin School District","=""0530011""",170
"Franklin School District","=""0530011""",170
"Glastonbury School District","=""0540011""",6882
"Glastonbury School District","=""0540011""",6883
"Glastonbury School District","=""0540011""",6846
"Glastonbury School District","=""0540011""",6841
"Glastonbury School District","=""0540011""",6721
"Glastonbury School District","=""0540011""",6606
"Glastonbury School District","=""0540011""",6410
"Glastonbury School District","=""0540011""",6148
"Glastonbury School District","=""0540011""",6069
"Granby School District","=""0560011""",2339
"Granby School District","=""0560011""",2281
"Granby School District","=""0560011""",2294
"Granby School District","=""0560011""",2253
"Granby School District","=""0560011""",2171
"Granby School District","=""0560011""",2112
"Granby School District","=""0560011""",2065
"Granby School District","=""0560011""",1970
"Granby School District","=""0560011""",1961
"Great Oaks Charter School District","=""2940013""",0
"Great Oaks Charter School District","=""2940013""",0
"Great Oaks Charter School District","=""2940013""",0
"Great Oaks Charter School District","=""2940013""",0
"Great Oaks Charter School District","=""2940013""",0
"Great Oaks Charter School District","=""2940013""",0
"Great Oaks Charter School District","=""2940013""",0
"Great Oaks Charter School District","=""2940013""",127
"Great Oaks Charter School District","=""2940013""",226
"Greenwich School District","=""0570011""",9014
"Greenwich School District","=""0570011""",8893
"Greenwich School District","=""0570011""",8863
"Greenwich School District","=""0570011""",8873
"Greenwich School District","=""0570011""",8822
"Greenwich School District","=""0570011""",8871
"Greenwich School District","=""0570011""",8786
"Greenwich School District","=""0570011""",8813
"Greenwich School District","=""0570011""",8825
"Griswold School District","=""0580011""",2146
"Griswold School District","=""0580011""",2123
"Griswold School District","=""0580011""",2068
"Griswold School District","=""0580011""",2013
"Griswold School District","=""0580011""",1974
"Griswold School District","=""0580011""",1975
"Griswold School District","=""0580011""",1981
"Griswold School District","=""0580011""",1897
"Griswold School District","=""0580011""",1891
"Groton School District","=""0590011""",5198
"Groton School District","=""0590011""",5172
"Groton School District","=""0590011""",5063
"Groton School District","=""0590011""",4997
"Groton School District","=""0590011""",4990
"Groton School District","=""0590011""",4811
"Groton School District","=""0590011""",4702
"Groton School District","=""0590011""",4565
"Groton School District","=""0590011""",4519
"Guilford School District","=""0600011""",3839
"Guilford School District","=""0600011""",3796
"Guilford School District","=""0600011""",3736
"Guilford School District","=""0600011""",3702
"Guilford School District","=""0600011""",3684
"Guilford School District","=""0600011""",3597
"Guilford School District","=""0600011""",3540
"Guilford School District","=""0600011""",3427
"Guilford School District","=""0600011""",3419
"Hamden School District","=""0620011""",6306
"Hamden School District","=""0620011""",6118
"Hamden School District","=""0620011""",5997
"Hamden School District","=""0620011""",6044
"Hamden School District","=""0620011""",5897
"Hamden School District","=""0620011""",5841
"Hamden School District","=""0620011""",5811
"Hamden School District","=""0620011""",5680
"Hamden School District","=""0620011""",5547
"Hampton School District","=""0630011""",166
"Hampton School District","=""0630011""",149
"Hampton School District","=""0630011""",143
"Hampton School District","=""0630011""",140
"Hampton School District","=""0630011""",126
"Hampton School District","=""0630011""",116
"Hampton School District","=""0630011""",111
"Hampton School District","=""0630011""",105
"Hampton School District","=""0630011""",101
"Hartford School District","=""0640011""",22679
"Hartford School District","=""0640011""",21956
"Hartford School District","=""0640011""",21552
"Hartford School District","=""0640011""",21365
"Hartford School District","=""0640011""",21297
"Hartford School District","=""0640011""",21965
"Hartford School District","=""0640011""",21820
"Hartford School District","=""0640011""",21953
"Hartford School District","=""0640011""",21463
"Hartland School District","=""0650011""",236
"Hartland School District","=""0650011""",239
"Hartland School District","=""0650011""",229
"Hartland School District","=""0650011""",225
"Hartland School District","=""0650011""",227
"Hartland School District","=""0650011""",215
"Hartland School District","=""0650011""",205
"Hartland School District","=""0650011""",203
"Hartland School District","=""0650011""",188
"Hebron School District","=""0670011""",1206
"Hebron School District","=""0670011""",1173
"Hebron School District","=""0670011""",1172
"Hebron School District","=""0670011""",1136
"Hebron School District","=""0670011""",1048
"Hebron School District","=""0670011""",938
"Hebron School District","=""0670011""",868
"Hebron School District","=""0670011""",786
"Hebron School District","=""0670011""",732
"Highville Charter School District","=""2860013""",277
"Highville Charter School District","=""2860013""",300
"Highville Charter School District","=""2860013""",303
"Highville Charter School District","=""2860013""",300
"Highville Charter School District","=""2860013""",337
"Highville Charter School District","=""2860013""",341
"Highville Charter School District","=""2860013""",361
"Highville Charter School District","=""2860013""",403
"Highville Charter School District","=""2860013""",462
"Integrated Day Charter School District","=""2640013""",330
"Integrated Day Charter School District","=""2640013""",330
