"District","FIPS","Year","Variable","Measure Type","Value"
"Achievement First Bridgeport Academy District","","2007-2008","Student Enrollment","Number","85"
"Achievement First Hartford Academy District","","2007-2008","Student Enrollment","Number","-6666"
"Amistad Academy District","","2007-2008","Student Enrollment","Number","547"
"Andover School District","","2007-2008","Student Enrollment","Number","347"
"Ansonia School District","900901220","2007-2008","Student Enrollment","Number","2743"
"Area Cooperative Educational Services","","2007-2008","Student Enrollment","Number","2098"
"Ashford School District","","2007-2008","Student Enrollment","Number","505"
"Avon School District","900302060","2007-2008","Student Enrollment","Number","3612"
"Barkhamsted School District","","2007-2008","Student Enrollment","Number","358"
"Berlin School District","","2007-2008","Student Enrollment","Number","3275"
"Bethany School District","","2007-2008","Student Enrollment","Number","570"
"Bethel School District","900104720","2007-2008","Student Enrollment","Number","3157"
"Bloomfield School District","900305910","2007-2008","Student Enrollment","Number","2240"
"Bolton School District","901306260","2007-2008","Student Enrollment","Number","876"
"Booker T Washington Academy District","","2007-2008","Student Enrollment","Number","-6666"
"Bozrah School District","","2007-2008","Student Enrollment","Number","269"
"Branford School District","900907310","2007-2008","Student Enrollment","Number","3514"
"Brass City Charter School District","","2007-2008","Student Enrollment","Number","-6666"
"Bridgeport School District","900108070","2007-2008","Student Enrollment","Number","20958"
"Bristol School District","900308490","2007-2008","Student Enrollment","Number","8980"
"Brookfield School District","900108980","2007-2008","Student Enrollment","Number","2955"
"Brooklyn School District","","2007-2008","Student Enrollment","Number","993"
"Canaan School District","","2007-2008","Student Enrollment","Number","102"
"Canterbury School District","","2007-2008","Student Enrollment","Number","584"
"Canton School District","900312270","2007-2008","Student Enrollment","Number","1739"
"Capital Preparatory Harbor School Inc. District","","2007-2008","Student Enrollment","Number","-6666"
"Capitol Region Education Council","","2007-2008","Student Enrollment","Number","2793"
"Chaplin School District","","2007-2008","Student Enrollment","Number","210"
"Charter School for Young Children on Asylum Hill","","2007-2008","Student Enrollment","Number","-6666"
"Cheshire School District","900914160","2007-2008","Student Enrollment","Number","5144"
"Chester School District","","2007-2008","Student Enrollment","Number","341"
"Clinton School District","900715350","2007-2008","Student Enrollment","Number","2113"
