"District","FIPS","Year","Variable","Measure Type","Value"
"Colchester School District","901115910","2007-2008","Student Enrollment","Number","3262"
"Colebrook School District","","2007-2008","Student Enrollment","Number","123"
"Columbia School District","","2007-2008","Student Enrollment","Number","593"
"Common Ground High School District","","2007-2008","Student Enrollment","Number","152"
"Connecticut","9","2007-2008","Student Enrollment","Number","574848"
"Connecticut Technical High School System","","2007-2008","Student Enrollment","Number","9973"
"Cooperative Educational Services","","2007-2008","Student Enrollment","Number","675"
"Cornwall School District","","2007-2008","Student Enrollment","Number","129"
"Coventry School District","","2007-2008","Student Enrollment","Number","2016"
"Cromwell School District","","2007-2008","Student Enrollment","Number","2000"
"Danbury School District","900118500","2007-2008","Student Enrollment","Number","10178"
"Darien School District","900118850","2007-2008","Student Enrollment","Number","4662"
"Deep River School District","","2007-2008","Student Enrollment","Number","389"
"Department of Mental Health and Addiction Services","","2007-2008","Student Enrollment","Number","11"
"Derby School District","900919550","2007-2008","Student Enrollment","Number","1472"
"East Granby School District","900322070","2007-2008","Student Enrollment","Number","914"
"East Haddam School District","","2007-2008","Student Enrollment","Number","1433"
"East Hampton School District","900722490","2007-2008","Student Enrollment","Number","2087"
"East Hartford School District","900322630","2007-2008","Student Enrollment","Number","7474"
"East Haven School District","900922910","2007-2008","Student Enrollment","Number","3699"
"East Lyme School District","901123400","2007-2008","Student Enrollment","Number","3269"
"East Windsor School District","900324800","2007-2008","Student Enrollment","Number","1494"
"Eastern Connecticut Regional Educational Services","","2007-2008","Student Enrollment","Number","64"
"Eastford School District","","2007-2008","Student Enrollment","Number","189"
"Easton School District","","2007-2008","Student Enrollment","Number","1180"
"Ellington School District","901325360","2007-2008","Student Enrollment","Number","2612"
"Elm City College Preparatory School District","","2007-2008","Student Enrollment","Number","476"
"Elm City Montessori School District","","2007-2008","Student Enrollment","Number","-6666"
"Enfield School District","900325990","2007-2008","Student Enrollment","Number","6373"
"Essex School District","","2007-2008","Student Enrollment","Number","551"
"Explorations District","","2007-2008","Student Enrollment","Number","86"
"Fairfield School District","900126620","2007-2008","Student Enrollment","Number","9797"
"Farmington School District","900327600","2007-2008","Student Enrollment","Number","4209"
"Franklin School District","","2007-2008","Student Enrollment","Number","235"
"Glastonbury School District","900331240","2007-2008","Student Enrollment","Number","6882"
"Granby School District","900332640","2007-2008","Student Enrollment","Number","2339"
"Great Oaks Charter School Bridgeport","","2007-2008","Student Enrollment","Number","-6666"
"Greenwich School District","900133620","2007-2008","Student Enrollment","Number","9014"
"Griswold School District","901133900","2007-2008","Student Enrollment","Number","2146"
"Groton School District","901134250","2007-2008","Student Enrollment","Number","5198"
"Guilford School District","900934950","2007-2008","Student Enrollment","Number","3839"
"Hamden School District","900935650","2007-2008","Student Enrollment","Number","6306"
"Hampton School District","","2007-2008","Student Enrollment","Number","166"
"Hartford School District","900337070","2007-2008","Student Enrollment","Number","22679"
"Hartland School District","","2007-2008","Student Enrollment","Number","236"
"Hebron School District","","2007-2008","Student Enrollment","Number","1206"
"Highville Charter School District","","2007-2008","Student Enrollment","Number","277"
"Integrated Day Charter School District","","2007-2008","Student Enrollment","Number","330"
"Interdistrict School for Arts and Communication District","","2007-2008","Student Enrollment","Number","181"
"Jumoke Academy District","","2007-2008","Student Enrollment","Number","369"
"Kent School District","","2007-2008","Student Enrollment","Number","257"
"Killingly School District","901540500","2007-2008","Student Enrollment","Number","2735"
"LEARN","","2007-2008","Student Enrollment","Number","1077"
"Lebanon School District","901142390","2007-2008","Student Enrollment","Number","1530"
"Ledyard School District","901142600","2007-2008","Student Enrollment","Number","2905"
"Lisbon School District","","2007-2008","Student Enrollment","Number","579"
"Litchfield School District","900543370","2007-2008","Student Enrollment","Number","1215"
"Madison School District","900944560","2007-2008","Student Enrollment","Number","3796"
"Manchester School District","900344700","2007-2008","Student Enrollment","Number","6913"
"Mansfield School District","","2007-2008","Student Enrollment","Number","1307"
"Marlborough School District","","2007-2008","Student Enrollment","Number","663"
"Meriden School District","900946520","2007-2008","Student Enrollment","Number","8908"
"Middletown School District","900747360","2007-2008","Student Enrollment","Number","5088"
"Milford School District","900947535","2007-2008","Student Enrollment","Number","7400"
"Monroe School District","900148620","2007-2008","Student Enrollment","Number","4226"
"Montville School District","901148900","2007-2008","Student Enrollment","Number","2871"
"Naugatuck School District","900949950","2007-2008","Student Enrollment","Number","4931"
"New Beginnings Inc. Family Academy District","","2007-2008","Student Enrollment","Number","362"
"New Britain School District","900350440","2007-2008","Student Enrollment","Number","10719"
"New Canaan School District","900150580","2007-2008","Student Enrollment","Number","4130"
"New Fairfield School District","900150860","2007-2008","Student Enrollment","Number","3048"
"New Hartford School District","","2007-2008","Student Enrollment","Number","618"
"New Haven School District","900952070","2007-2008","Student Enrollment","Number","19981"
"New London School District","901152350","2007-2008","Student Enrollment","Number","2933"
"New Milford School District","900552630","2007-2008","Student Enrollment","Number","5034"
"Newington School District","900352140","2007-2008","Student Enrollment","Number","4566"
"Newtown School District","900152980","2007-2008","Student Enrollment","Number","5663"
"Norfolk School District","","2007-2008","Student Enrollment","Number","168"
"North Branford School District","900953890","2007-2008","Student Enrollment","Number","2434"
"North Canaan School District","","2007-2008","Student Enrollment","Number","359"
"North Haven School District","900954870","2007-2008","Student Enrollment","Number","3897"
"North Stonington School District","901155500","2007-2008","Student Enrollment","Number","805"
"Norwalk School District","900156060","2007-2008","Student Enrollment","Number","10729"
"Norwich Free Academy District","","2007-2008","Student Enrollment","Number","2449"
"Norwich School District","901156270","2007-2008","Student Enrollment","Number","4070"
"Odyssey Community School District","","2007-2008","Student Enrollment","Number","177"
"Old Saybrook School District","900757320","2007-2008","Student Enrollment","Number","1621"
"Orange School District","","2007-2008","Student Enrollment","Number","1377"
"Oxford School District","900958300","2007-2008","Student Enrollment","Number","1861"
"Park City Prep Charter School District","","2007-2008","Student Enrollment","Number","206"
"Path Academy District","","2007-2008","Student Enrollment","Number","-6666"
"Plainfield School District","901559980","2007-2008","Student Enrollment","Number","2784"
"Plainville School District","900360120","2007-2008","Student Enrollment","Number","2629"
"Plymouth School District","900560750","2007-2008","Student Enrollment","Number","1913"
"Pomfret School District","","2007-2008","Student Enrollment","Number","543"
"Portland School District","900761800","2007-2008","Student Enrollment","Number","1433"
"Preston School District","","2007-2008","Student Enrollment","Number","509"
"Putnam School District","901562710","2007-2008","Student Enrollment","Number","1319"
"Redding School District","","2007-2008","Student Enrollment","Number","1309"
"Regional School District 01","","2007-2008","Student Enrollment","Number","570"
"Regional School District 04","","2007-2008","Student Enrollment","Number","961"
"Regional School District 05","","2007-2008","Student Enrollment","Number","2483"
"Regional School District 06","","2007-2008","Student Enrollment","Number","1130"
"Regional School District 07","","2007-2008","Student Enrollment","Number","1155"
"Regional School District 08","","2007-2008","Student Enrollment","Number","1676"
"Regional School District 09","","2007-2008","Student Enrollment","Number","979"
"Regional School District 10","","2007-2008","Student Enrollment","Number","2855"
"Regional School District 11","","2007-2008","Student Enrollment","Number","299"
"Regional School District 12","","2007-2008","Student Enrollment","Number","1062"
"Regional School District 13","","2007-2008","Student Enrollment","Number","2156"
"Regional School District 14","","2007-2008","Student Enrollment","Number","2215"
"Regional School District 15","","2007-2008","Student Enrollment","Number","4583"
"Regional School District 16","","2007-2008","Student Enrollment","Number","2691"
"Regional School District 17","","2007-2008","Student Enrollment","Number","2562"
"Regional School District 18","","2007-2008","Student Enrollment","Number","1538"
"Regional School District 19","","2007-2008","Student Enrollment","Number","1191"
"Ridgefield School District","900163970","2007-2008","Student Enrollment","Number","5560"
"Rocky Hill School District","900365370","2007-2008","Student Enrollment","Number","2622"
"Salem School District","","2007-2008","Student Enrollment","Number","506"
"Salisbury School District","","2007-2008","Student Enrollment","Number","307"
"Scotland School District","","2007-2008","Student Enrollment","Number","190"
"Seymour School District","900967610","2007-2008","Student Enrollment","Number","2619"
"Sharon School District","","2007-2008","Student Enrollment","Number","219"
"Shelton School District","900168170","2007-2008","Student Enrollment","Number","5670"
"Sherman School District","","2007-2008","Student Enrollment","Number","459"
"Side By Side Charter School District","","2007-2008","Student Enrollment","Number","230"
"Simsbury School District","900368940","2007-2008","Student Enrollment","Number","4973"
"Somers School District","901369220","2007-2008","Student Enrollment","Number","1734"
"South Windsor School District","900371390","2007-2008","Student Enrollment","Number","4972"
"Southington School District","900370550","2007-2008","Student Enrollment","Number","6947"
"Sprague School District","","2007-2008","Student Enrollment","Number","356"
"Stafford School District","901372090","2007-2008","Student Enrollment","Number","1917"
"Stamford Academy District","","2007-2008","Student Enrollment","Number","131"
"Stamford Charter School for Excellence District","","2007-2008","Student Enrollment","Number","-6666"
"Stamford School District","900173070","2007-2008","Student Enrollment","Number","14982"
"Sterling School District","","2007-2008","Student Enrollment","Number","504"
"Stonington School District","901173770","2007-2008","Student Enrollment","Number","2549"
"Stratford School District","900174190","2007-2008","Student Enrollment","Number","7440"
"Suffield School District","900374540","2007-2008","Student Enrollment","Number","2594"
"The Bridge Academy District","","2007-2008","Student Enrollment","Number","260"
"The Gilbert School District","","2007-2008","Student Enrollment","Number","408"
"Thomaston School District","900575730","2007-2008","Student Enrollment","Number","1272"
"Thompson School District","901575870","2007-2008","Student Enrollment","Number","1488"
"Tolland School District","901376290","2007-2008","Student Enrollment","Number","3143"
"Torrington School District","900576570","2007-2008","Student Enrollment","Number","4868"
"Trailblazers Academy District","","2007-2008","Student Enrollment","Number","150"
"Trumbull School District","900177200","2007-2008","Student Enrollment","Number","6918"
"Unified School District #1","","2007-2008","Student Enrollment","Number","1195"
"Unified School District #2","","2007-2008","Student Enrollment","Number","375"
"Union School District","","2007-2008","Student Enrollment","Number","73"
"Vernon School District","901378250","2007-2008","Student Enrollment","Number","3722"
"Voluntown School District","","2007-2008","Student Enrollment","Number","315"
"Wallingford School District","900978740","2007-2008","Student Enrollment","Number","6855"
"Waterbury School District","900980070","2007-2008","Student Enrollment","Number","18401"
"Waterford School District","901180280","2007-2008","Student Enrollment","Number","2954"
"Watertown School District","900580490","2007-2008","Student Enrollment","Number","3412"
"West Hartford School District","900382590","2007-2008","Student Enrollment","Number","10045"
"West Haven School District","900982870","2007-2008","Student Enrollment","Number","6490"
"Westbrook School District","900781680","2007-2008","Student Enrollment","Number","985"
"Western Connecticut Regional Educational Services","","2007-2008","Student Enrollment","Number","179"
"Weston School District","900183430","2007-2008","Student Enrollment","Number","2591"
"Westport School District","900183500","2007-2008","Student Enrollment","Number","5700"
"Wethersfield School District","900384900","2007-2008","Student Enrollment","Number","3838"
"Willington School District","","2007-2008","Student Enrollment","Number","601"
"Wilton School District","900186370","2007-2008","Student Enrollment","Number","4384"
"Winchester School District","900586440","2007-2008","Student Enrollment","Number","1073"
"Windham School District","901586790","2007-2008","Student Enrollment","Number","3675"
"Windsor Locks School District","900387070","2007-2008","Student Enrollment","Number","1843"
"Windsor School District","900387000","2007-2008","Student Enrollment","Number","4128"
"Wolcott School District","900987560","2007-2008","Student Enrollment","Number","2928"
"Woodbridge School District","","2007-2008","Student Enrollment","Number","788"
"Woodstock Academy District","","2007-2008","Student Enrollment","Number","1153"
"Woodstock School District","","2007-2008","Student Enrollment","Number","951"
"Achievement First Bridgeport Academy District","","2008-2009","Student Enrollment","Number","160"
"Achievement First Hartford Academy District","","2008-2009","Student Enrollment","Number","261"
"Amistad Academy District","","2008-2009","Student Enrollment","Number","641"
"Andover School District","","2008-2009","Student Enrollment","Number","334"
"Ansonia School District","900901220","2008-2009","Student Enrollment","Number","2722"
"Area Cooperative Educational Services","","2008-2009","Student Enrollment","Number","2098"
"Ashford School District","","2008-2009","Student Enrollment","Number","488"
"Avon School District","900302060","2008-2009","Student Enrollment","Number","3569"
"Barkhamsted School District","","2008-2009","Student Enrollment","Number","362"
"Berlin School District","","2008-2009","Student Enrollment","Number","3223"
"Bethany School District","","2008-2009","Student Enrollment","Number","551"
"Bethel School District","900104720","2008-2009","Student Enrollment","Number","3087"
"Bloomfield School District","900305910","2008-2009","Student Enrollment","Number","2181"
"Bolton School District","901306260","2008-2009","Student Enrollment","Number","869"
"Booker T Washington Academy District","","2008-2009","Student Enrollment","Number","-6666"
"Bozrah School District","","2008-2009","Student Enrollment","Number","261"
"Branford School District","900907310","2008-2009","Student Enrollment","Number","3515"
"Brass City Charter School District","","2008-2009","Student Enrollment","Number","-6666"
"Bridgeport School District","900108070","2008-2009","Student Enrollment","Number","20596"
"Bristol School District","900308490","2008-2009","Student Enrollment","Number","8866"
"Brookfield School District","900108980","2008-2009","Student Enrollment","Number","2952"
"Brooklyn School District","","2008-2009","Student Enrollment","Number","987"
"Canaan School District","","2008-2009","Student Enrollment","Number","85"
"Canterbury School District","","2008-2009","Student Enrollment","Number","605"
"Canton School District","900312270","2008-2009","Student Enrollment","Number","1761"
"Capital Preparatory Harbor School Inc. District","","2008-2009","Student Enrollment","Number","-6666"
"Capitol Region Education Council","","2008-2009","Student Enrollment","Number","3436"
"Chaplin School District","","2008-2009","Student Enrollment","Number","178"
"Charter School for Young Children on Asylum Hill","","2008-2009","Student Enrollment","Number","136"
"Cheshire School District","900914160","2008-2009","Student Enrollment","Number","5032"
"Chester School District","","2008-2009","Student Enrollment","Number","319"
"Clinton School District","900715350","2008-2009","Student Enrollment","Number","2091"
"Colchester School District","901115910","2008-2009","Student Enrollment","Number","3197"
"Colebrook School District","","2008-2009","Student Enrollment","Number","116"
"Columbia School District","","2008-2009","Student Enrollment","Number","579"
"Common Ground High School District","","2008-2009","Student Enrollment","Number","155"
"Connecticut","9","2008-2009","Student Enrollment","Number","571046"
"Connecticut Technical High School System","","2008-2009","Student Enrollment","Number","10257"
"Cooperative Educational Services","","2008-2009","Student Enrollment","Number","754"
"Cornwall School District","","2008-2009","Student Enrollment","Number","122"
"Coventry School District","","2008-2009","Student Enrollment","Number","1962"
"Cromwell School District","","2008-2009","Student Enrollment","Number","2029"
"Danbury School District","900118500","2008-2009","Student Enrollment","Number","10350"
"Darien School District","900118850","2008-2009","Student Enrollment","Number","4732"
"Deep River School District","","2008-2009","Student Enrollment","Number","355"
"Department of Mental Health and Addiction Services","","2008-2009","Student Enrollment","Number","8"
"Derby School District","900919550","2008-2009","Student Enrollment","Number","1489"
"East Granby School District","900322070","2008-2009","Student Enrollment","Number","900"
"East Haddam School District","","2008-2009","Student Enrollment","Number","1437"
"East Hampton School District","900722490","2008-2009","Student Enrollment","Number","2064"
"East Hartford School District","900322630","2008-2009","Student Enrollment","Number","7264"
"East Haven School District","900922910","2008-2009","Student Enrollment","Number","3599"
"East Lyme School District","901123400","2008-2009","Student Enrollment","Number","3169"
"East Windsor School District","900324800","2008-2009","Student Enrollment","Number","1452"
"Eastern Connecticut Regional Educational Services","","2008-2009","Student Enrollment","Number","147"
"Eastford School District","","2008-2009","Student Enrollment","Number","187"
"Easton School District","","2008-2009","Student Enrollment","Number","1158"
"Ellington School District","901325360","2008-2009","Student Enrollment","Number","2645"
"Elm City College Preparatory School District","","2008-2009","Student Enrollment","Number","509"
"Elm City Montessori School District","","2008-2009","Student Enrollment","Number","-6666"
"Enfield School District","900325990","2008-2009","Student Enrollment","Number","6314"
"Essex School District","","2008-2009","Student Enrollment","Number","594"
"Explorations District","","2008-2009","Student Enrollment","Number","85"
"Fairfield School District","900126620","2008-2009","Student Enrollment","Number","9975"
"Farmington School District","900327600","2008-2009","Student Enrollment","Number","4206"
"Franklin School District","","2008-2009","Student Enrollment","Number","226"
"Glastonbury School District","900331240","2008-2009","Student Enrollment","Number","6883"
"Granby School District","900332640","2008-2009","Student Enrollment","Number","2281"
"Great Oaks Charter School Bridgeport","","2008-2009","Student Enrollment","Number","-6666"
"Greenwich School District","900133620","2008-2009","Student Enrollment","Number","8893"
"Griswold School District","901133900","2008-2009","Student Enrollment","Number","2123"
"Groton School District","901134250","2008-2009","Student Enrollment","Number","5172"
"Guilford School District","900934950","2008-2009","Student Enrollment","Number","3796"
"Hamden School District","900935650","2008-2009","Student Enrollment","Number","6118"
"Hampton School District","","2008-2009","Student Enrollment","Number","149"
"Hartford School District","900337070","2008-2009","Student Enrollment","Number","21956"
"Hartland School District","","2008-2009","Student Enrollment","Number","239"
"Hebron School District","","2008-2009","Student Enrollment","Number","1173"
"Highville Charter School District","","2008-2009","Student Enrollment","Number","300"
"Integrated Day Charter School District","","2008-2009","Student Enrollment","Number","330"
"Interdistrict School for Arts and Communication District","","2008-2009","Student Enrollment","Number","182"
"Jumoke Academy District","","2008-2009","Student Enrollment","Number","412"
"Kent School District","","2008-2009","Student Enrollment","Number","284"
"Killingly School District","901540500","2008-2009","Student Enrollment","Number","2724"
"LEARN","","2008-2009","Student Enrollment","Number","1037"
"Lebanon School District","901142390","2008-2009","Student Enrollment","Number","1547"
"Ledyard School District","901142600","2008-2009","Student Enrollment","Number","2761"
"Lisbon School District","","2008-2009","Student Enrollment","Number","564"
"Litchfield School District","900543370","2008-2009","Student Enrollment","Number","1203"
"Madison School District","900944560","2008-2009","Student Enrollment","Number","3740"
"Manchester School District","900344700","2008-2009","Student Enrollment","Number","6936"
"Mansfield School District","","2008-2009","Student Enrollment","Number","1285"
"Marlborough School District","","2008-2009","Student Enrollment","Number","676"
"Meriden School District","900946520","2008-2009","Student Enrollment","Number","8719"
"Middletown School District","900747360","2008-2009","Student Enrollment","Number","5189"
"Milford School District","900947535","2008-2009","Student Enrollment","Number","7326"
"Monroe School District","900148620","2008-2009","Student Enrollment","Number","4050"
"Montville School District","901148900","2008-2009","Student Enrollment","Number","2784"
"Naugatuck School District","900949950","2008-2009","Student Enrollment","Number","4832"
"New Beginnings Inc. Family Academy District","","2008-2009","Student Enrollment","Number","358"
"New Britain School District","900350440","2008-2009","Student Enrollment","Number","10496"
"New Canaan School District","900150580","2008-2009","Student Enrollment","Number","4104"
"New Fairfield School District","900150860","2008-2009","Student Enrollment","Number","3056"
"New Hartford School District","","2008-2009","Student Enrollment","Number","620"
"New Haven School District","900952070","2008-2009","Student Enrollment","Number","19848"
"New London School District","901152350","2008-2009","Student Enrollment","Number","3105"
"New Milford School District","900552630","2008-2009","Student Enrollment","Number","4922"
"Newington School District","900352140","2008-2009","Student Enrollment","Number","4533"
"Newtown School District","900152980","2008-2009","Student Enrollment","Number","5612"
"Norfolk School District","","2008-2009","Student Enrollment","Number","157"
"North Branford School District","900953890","2008-2009","Student Enrollment","Number","2401"
"North Canaan School District","","2008-2009","Student Enrollment","Number","338"
"North Haven School District","900954870","2008-2009","Student Enrollment","Number","3836"
"North Stonington School District","901155500","2008-2009","Student Enrollment","Number","794"
"Norwalk School District","900156060","2008-2009","Student Enrollment","Number","10842"
"Norwich Free Academy District","","2008-2009","Student Enrollment","Number","2488"
"Norwich School District","901156270","2008-2009","Student Enrollment","Number","4004"
"Odyssey Community School District","","2008-2009","Student Enrollment","Number","178"
"Old Saybrook School District","900757320","2008-2009","Student Enrollment","Number","1628"
"Orange School District","","2008-2009","Student Enrollment","Number","1320"
"Oxford School District","900958300","2008-2009","Student Enrollment","Number","2027"
"Park City Prep Charter School District","","2008-2009","Student Enrollment","Number","224"
"Path Academy District","","2008-2009","Student Enrollment","Number","-6666"
"Plainfield School District","901559980","2008-2009","Student Enrollment","Number","2720"
"Plainville School District","900360120","2008-2009","Student Enrollment","Number","2542"
"Plymouth School District","900560750","2008-2009","Student Enrollment","Number","1864"
"Pomfret School District","","2008-2009","Student Enrollment","Number","545"
"Portland School District","900761800","2008-2009","Student Enrollment","Number","1432"
"Preston School District","","2008-2009","Student Enrollment","Number","494"
"Putnam School District","901562710","2008-2009","Student Enrollment","Number","1254"
"Redding School District","","2008-2009","Student Enrollment","Number","1304"
"Regional School District 01","","2008-2009","Student Enrollment","Number","563"
"Regional School District 04","","2008-2009","Student Enrollment","Number","959"
"Regional School District 05","","2008-2009","Student Enrollment","Number","2504"
"Regional School District 06","","2008-2009","Student Enrollment","Number","1084"
"Regional School District 07","","2008-2009","Student Enrollment","Number","1197"
"Regional School District 08","","2008-2009","Student Enrollment","Number","1759"
"Regional School District 09","","2008-2009","Student Enrollment","Number","967"
"Regional School District 10","","2008-2009","Student Enrollment","Number","2862"
"Regional School District 11","","2008-2009","Student Enrollment","Number","318"
"Regional School District 12","","2008-2009","Student Enrollment","Number","1014"
"Regional School District 13","","2008-2009","Student Enrollment","Number","2143"
"Regional School District 14","","2008-2009","Student Enrollment","Number","2142"
"Regional School District 15","","2008-2009","Student Enrollment","Number","4559"
"Regional School District 16","","2008-2009","Student Enrollment","Number","2618"
"Regional School District 17","","2008-2009","Student Enrollment","Number","2547"
"Regional School District 18","","2008-2009","Student Enrollment","Number","1470"
"Regional School District 19","","2008-2009","Student Enrollment","Number","1181"
"Ridgefield School District","900163970","2008-2009","Student Enrollment","Number","5551"
"Rocky Hill School District","900365370","2008-2009","Student Enrollment","Number","2625"
"Salem School District","","2008-2009","Student Enrollment","Number","523"
"Salisbury School District","","2008-2009","Student Enrollment","Number","319"
"Scotland School District","","2008-2009","Student Enrollment","Number","190"
"Seymour School District","900967610","2008-2009","Student Enrollment","Number","2582"
"Sharon School District","","2008-2009","Student Enrollment","Number","196"
"Shelton School District","900168170","2008-2009","Student Enrollment","Number","5570"
"Sherman School District","","2008-2009","Student Enrollment","Number","460"
"Side By Side Charter School District","","2008-2009","Student Enrollment","Number","229"
"Simsbury School District","900368940","2008-2009","Student Enrollment","Number","4950"
"Somers School District","901369220","2008-2009","Student Enrollment","Number","1729"
"South Windsor School District","900371390","2008-2009","Student Enrollment","Number","4839"
"Southington School District","900370550","2008-2009","Student Enrollment","Number","6866"
"Sprague School District","","2008-2009","Student Enrollment","Number","355"
"Stafford School District","901372090","2008-2009","Student Enrollment","Number","1918"
"Stamford Academy District","","2008-2009","Student Enrollment","Number","131"
"Stamford Charter School for Excellence District","","2008-2009","Student Enrollment","Number","-6666"
"Stamford School District","900173070","2008-2009","Student Enrollment","Number","14956"
"Sterling School District","","2008-2009","Student Enrollment","Number","513"
"Stonington School District","901173770","2008-2009","Student Enrollment","Number","2526"
"Stratford School District","900174190","2008-2009","Student Enrollment","Number","7367"
"Suffield School District","900374540","2008-2009","Student Enrollment","Number","2579"
"The Bridge Academy District","","2008-2009","Student Enrollment","Number","262"
"The Gilbert School District","","2008-2009","Student Enrollment","Number","400"
"Thomaston School District","900575730","2008-2009","Student Enrollment","Number","1229"
"Thompson School District","901575870","2008-2009","Student Enrollment","Number","1406"
"Tolland School District","901376290","2008-2009","Student Enrollment","Number","3159"
"Torrington School District","900576570","2008-2009","Student Enrollment","Number","4758"
"Trailblazers Academy District","","2008-2009","Student Enrollment","Number","150"
"Trumbull School District","900177200","2008-2009","Student Enrollment","Number","6956"
"Unified School District #1","","2008-2009","Student Enrollment","Number","1018"
"Unified School District #2","","2008-2009","Student Enrollment","Number","336"
"Union School District","","2008-2009","Student Enrollment","Number","79"
"Vernon School District","901378250","2008-2009","Student Enrollment","Number","3606"
"Voluntown School District","","2008-2009","Student Enrollment","Number","309"
"Wallingford School District","900978740","2008-2009","Student Enrollment","Number","6828"
"Waterbury School District","900980070","2008-2009","Student Enrollment","Number","18437"
"Waterford School District","901180280","2008-2009","Student Enrollment","Number","2900"
"Watertown School District","900580490","2008-2009","Student Enrollment","Number","3346"
"West Hartford School District","900382590","2008-2009","Student Enrollment","Number","10129"
"West Haven School District","900982870","2008-2009","Student Enrollment","Number","6313"
"Westbrook School District","900781680","2008-2009","Student Enrollment","Number","970"
"Western Connecticut Regional Educational Services","","2008-2009","Student Enrollment","Number","194"
"Weston School District","900183430","2008-2009","Student Enrollment","Number","2586"
"Westport School District","900183500","2008-2009","Student Enrollment","Number","5782"
"Wethersfield School District","900384900","2008-2009","Student Enrollment","Number","3832"
"Willington School District","","2008-2009","Student Enrollment","Number","568"
"Wilton School District","900186370","2008-2009","Student Enrollment","Number","4396"
"Winchester School District","900586440","2008-2009","Student Enrollment","Number","1004"
"Windham School District","901586790","2008-2009","Student Enrollment","Number","3523"
"Windsor Locks School District","900387070","2008-2009","Student Enrollment","Number","1858"
"Windsor School District","900387000","2008-2009","Student Enrollment","Number","4004"
"Wolcott School District","900987560","2008-2009","Student Enrollment","Number","2865"
"Woodbridge School District","","2008-2009","Student Enrollment","Number","756"
"Woodstock Academy District","","2008-2009","Student Enrollment","Number","1184"
"Woodstock School District","","2008-2009","Student Enrollment","Number","930"
"Achievement First Bridgeport Academy District","","2009-2010","Student Enrollment","Number","238"
"Achievement First Hartford Academy District","","2009-2010","Student Enrollment","Number","440"
"Amistad Academy District","","2009-2010","Student Enrollment","Number","744"
"Andover School District","","2009-2010","Student Enrollment","Number","336"
"Ansonia School District","900901220","2009-2010","Student Enrollment","Number","2738"
"Area Cooperative Educational Services","","2009-2010","Student Enrollment","Number","2076"
"Ashford School District","","2009-2010","Student Enrollment","Number","478"
"Avon School District","900302060","2009-2010","Student Enrollment","Number","3598"
"Barkhamsted School District","","2009-2010","Student Enrollment","Number","367"
"Berlin School District","","2009-2010","Student Enrollment","Number","3169"
"Bethany School District","","2009-2010","Student Enrollment","Number","516"
"Bethel School District","900104720","2009-2010","Student Enrollment","Number","3053"
"Bloomfield School District","900305910","2009-2010","Student Enrollment","Number","2298"
"Bolton School District","901306260","2009-2010","Student Enrollment","Number","888"
"Booker T Washington Academy District","","2009-2010","Student Enrollment","Number","-6666"
"Bozrah School District","","2009-2010","Student Enrollment","Number","258"
"Branford School District","900907310","2009-2010","Student Enrollment","Number","3534"
"Brass City Charter School District","","2009-2010","Student Enrollment","Number","-6666"
"Bridgeport School District","900108070","2009-2010","Student Enrollment","Number","20307"
"Bristol School District","900308490","2009-2010","Student Enrollment","Number","8753"
